SimulationID,Player1Hand,Player2Hand,GameStage,CommunityCards,P1Win_Map,P2Win_Map,Tie_Map,Time_Map,P1Win_Hash,P2Win_Hash,Tie_Hash,Time_Hash
1,"5h 10h ","6d 6s ",flop,"4s 3d 7c ",10,90,0,3,16,84,0,3
2,"3s 6s ","10h 8c ",flop,"2c Ac 5s ",42,57,1,3,42,56,2,3
3,"3c 9s ","Jd 5c ",turn,"4s Kc 2d 6s ",14,86,0,2,10,90,0,2
4,"Kd 9d ","3s 5c ",river,"2c Ad Ks 7d 4c ",0,100,0,2,0,100,0,2
5,"6c Kd ","Ac Qd ",river,"Ah Qs 7h 8s 10s ",0,100,0,3,0,100,0,3
6,"10h 2d ","8d 2s ",river,"Ah Js Jd 3d 7h ",100,0,0,2,100,0,0,3
7,"Qs 2h ","7c 3h ",flop,"9h Kc Qc ",91,5,4,3,88,8,4,3
8,"Qs 10s ","3h 10d ",turn,"8s 4s 8d 9c ",96,2,2,3,94,5,1,3
9,"Kd 7h ","5s 3d ",preflop,"",68,32,0,3,62,38,0,2
10,"3h 3s ","5d 6h ",turn,"Kd 8h 4s Ks ",58,32,10,3,77,19,4,3
11,"9c 7s ","6s 6h ",river,"Jh 9s 2c 2d 3c ",100,0,0,3,100,0,0,3
12,"Jd 5h ","Qs 8h ",preflop,"",37,61,2,3,35,64,1,3
13,"8c 10h ","8s 3c ",turn,"Ad 4s 8h Kh ",55,8,37,3,56,8,36,3
14,"2c 7h ","Qh Jh ",preflop,"",28,69,3,2,28,69,3,3
15,"7d Qc ","7c Jd ",river,"Ad 3d Ac 10c 9s ",100,0,0,3,100,0,0,3
16,"Qd 10c ","9c 3h ",flop,"4d Jc Jd ",75,18,7,2,76,16,8,3
17,"Ks 9s ","3c Jc ",river,"Kc 6h Kh 4d Jd ",100,0,0,3,100,0,0,3
18,"Qs Qc ","9s 8h ",turn,"Ks Jc Ah 10h ",100,0,0,3,100,0,0,3
19,"Qh Kc ","9d Qc ",river,"9c 7c 6s 4h Jd ",0,100,0,3,0,100,0,3
20,"6d Qh ","Qd Qc ",river,"4h 9c 3s 3h Qs ",0,100,0,3,0,100,0,3
21,"Jc 9c ","4s 5h ",flop,"4c 8h Qs ",41,59,0,3,46,54,0,3
22,"7c 9c ","Jd Js ",turn,"7h 4c 5c 8s ",39,61,0,3,44,56,0,3
23,"7h 6h ","Kc 4h ",river,"7s Qd Ah 6c 5h ",100,0,0,3,100,0,0,3
24,"6h Kd ","8s 6c ",river,"5c 3c 9d 10s 10d ",100,0,0,3,100,0,0,3
25,"Js 7d ","Qd Ks ",turn,"Kc 10d 4c Ad ",10,90,0,3,4,96,0,3
26,"8h Kd ","3s As ",flop,"Js 4d 8c ",80,20,0,3,84,16,0,3
27,"Qs 7d ","10d 2c ",river,"2s 4c 3s 5h 3c ",0,100,0,3,0,100,0,3
28,"9d 4d ","7h 9s ",preflop,"",29,44,27,3,29,51,20,3
29,"9d 10h ","2c 6d ",flop,"Js Qd 8c ",99,0,1,3,97,3,0,3
30,"Jh 3s ","Kh 10c ",flop,"7d 8s Qc ",24,75,1,3,22,77,1,3
31,"Qh 7s ","7h 7d ",flop,"Kh 6s 10s ",19,81,0,3,22,78,0,3
32,"10d Jd ","5h 6s ",turn,"3c Ks 4s 2d ",0,100,0,2,0,100,0,3
33,"4c Kh ","Qd Ad ",preflop,"",30,67,3,3,32,68,0,3
34,"2h Kc ","5h 8h ",flop,"4d 9d 4h ",67,27,6,3,66,28,6,3
35,"2h 10d ","2c 7h ",flop,"Ad Qs 6h ",79,10,11,3,70,20,10,3
36,"4c 9s ","Jh 7c ",turn,"10c 10s Js 8c ",18,82,0,3,18,82,0,3
37,"7c 6d ","8s Jh ",turn,"Ad Qc 2c Kc ",35,59,6,3,36,59,5,3
38,"4d Ac ","7c 3d ",turn,"10h 9c As 10c ",100,0,0,3,100,0,0,3
39,"Jh 8c ","9s 5c ",turn,"10c Qd Qs 5s ",32,68,0,3,23,77,0,3
40,"4h Jc ","Qh Ac ",river,"8c Qd Ah Kd 7c ",0,100,0,3,0,100,0,3
41,"Ad 5d ","8d Kd ",turn,"2h 6d Jh 10c ",87,13,0,3,89,11,0,3
42,"2d Kh ","9c 5h ",preflop,"",51,49,0,3,59,41,0,3
43,"8c 10c ","7d 3h ",flop,"Ks 4s Kd ",68,25,7,3,71,17,12,3
44,"6s 10c ","3h 7c ",river,"4h 5c 10s 8c 9c ",100,0,0,3,100,0,0,3
45,"9h Jh ","9d 6s ",river,"3c 9c Js Ad 5d ",100,0,0,3,100,0,0,3
46,"7s 6d ","Kh 6s ",flop,"3c 5c 5h ",35,52,13,3,26,62,12,3
47,"4d Kc ","Ac 6d ",preflop,"",38,62,0,3,25,75,0,3
48,"Kh 7c ","8s Ah ",turn,"7s As Kc Js ",63,37,0,3,64,36,0,3
49,"10h 10c ","4s 9h ",flop,"Kc 3d 6d ",99,1,0,3,96,4,0,3
50,"8h 3d ","7d 2d ",flop,"6c 6h 4d ",64,26,10,3,65,19,16,3
51,"8h 2h ","2d Jh ",preflop,"",17,73,10,3,27,67,6,3
52,"Ac Qd ","8c 5h ",river,"6h 7h 4h Kc Jc ",0,100,0,3,0,100,0,3
53,"8h 5s ","Ks Qs ",turn,"3s Jc 3d 5c ",88,12,0,2,86,14,0,3
54,"Kh 8d ","5d 4c ",flop,"6s Qc Jd ",78,22,0,3,69,31,0,3
55,"8d 10s ","9h Ac ",flop,"As 9s 5c ",11,89,0,3,7,93,0,3
56,"6d 8s ","Ac 10h ",preflop,"",35,63,2,3,34,65,1,3
57,"7d 10d ","3h 10h ",flop,"2d 4s 4d ",66,4,30,3,52,12,36,3
58,"10h 4s ","8h Jh ",preflop,"",40,57,3,3,31,66,3,3
59,"4s As ","2d Jh ",turn,"5c 5d Ac 8d ",100,0,0,3,100,0,0,3
60,"6s 4d ","4s 6h ",river,"4c 6d 9s 9d Qh ",0,0,100,3,0,0,100,3
61,"Jc Kd ","10s 2d ",turn,"4d Qd 8c 7h ",86,14,0,3,84,16,0,3
62,"9s 7h ","3h 6c ",river,"2h Jc 3d Js 2s ",0,100,0,3,0,100,0,3
63,"9c Qc ","10c 9s ",turn,"Js 4h 6c Qh ",86,14,0,3,80,20,0,3
64,"9s 7d ","6h 4d ",turn,"Ad 8c 5s Jc ",93,7,0,3,87,13,0,3
65,"Qd Jd ","6s 10c ",flop,"10h 2c 4d ",35,65,0,3,27,73,0,3
